DMS_id,arm,alpha,alpha_eff,eps,rho,rho_base,auc,ap,delta
5A12_Ang2_fitness_4ZFG,shuffled,2.0,1.5173139481735003,0.15399229526519775,0.09650762688662316,0.09538761000110373,1.0,1.0,0.001120016885519437
5A12_Ang2_fitness_4ZFG,iface,4.0,4.0,0.3079845905303955,0.0972335567576027,0.09538761000110373,1.0,1.0,0.0018459467564989757
5A12_Ang2_fitness_4ZFG,rand0,4.0,3.145296375682719,0.3079845905303955,0.09617193980531578,0.09538761000110373,0.9991376180101671,0.9839110183578574,0.0007843298042120583
5A12_Ang2_fitness_4ZFG,rand1,4.0,3.507482109242776,0.3079845905303955,0.09571307158599182,0.09538761000110373,0.9997276688453159,0.9953140116581809,0.0003254615848880954
5A12_Ang2_fitness_4ZFG,rand2,4.0,3.7046926367830633,0.3079845905303955,0.0978518788354738,0.09538761000110373,0.9996822803195352,0.9950472103927389,0.0024642688343700786
5A12_Ang2_fitness_4ZFG,shuffled,4.0,3.0346278963470006,0.3079845905303955,0.09775385259005183,0.09538761000110373,0.9983660130718954,0.9790536321442695,0.002366242588948103
5A12_Ang2_fitness_4ZFG,iface,8.0,8.0,0.615969181060791,0.09998212232205618,0.09538761000110373,1.0,1.0,0.004594512320952454
5A12_Ang2_fitness_4ZFG,rand0,8.0,6.290592751365438,0.615969181060791,0.096831328962108,0.09538761000110373,0.9923747276688454,0.8846056402097368,0.0014437189610042728
5A12_Ang2_fitness_4ZFG,rand1,8.0,7.014964218485552,0.615969181060791,0.09737885862769335,0.09538761000110373,0.9966866376180102,0.9546431872824098,0.0019912486265896284
5A12_Ang2_fitness_4ZFG,rand2,8.0,7.4093852735661265,0.615969181060791,0.09931005699201603,0.09538761000110373,0.9945533769063181,0.9365966515221336,0.003922446990912307
5A12_Ang2_fitness_4ZFG,shuffled,8.0,6.069255792694001,0.615969181060791,0.09914471438549691,0.09538761000110373,0.9648692810457518,0.7278816036114563,0.003757104384393181
HLA-A2_TAPBPR_meanscore_5WER,iface,-8.0,-8.0,0.6228881478309631,0.36749732437568344,0.3996212818779884,0.0007625272331154673,0.0654414870438165,-0.032123957502304956
HLA-A2_TAPBPR_meanscore_5WER,rand0,-8.0,-7.083558950947338,0.6228880882263184,0.3936663298396714,0.3996212818779884,0.9243736383442267,0.6465142028217328,-0.005954952038316974
HLA-A2_TAPBPR_meanscore_5WER,rand1,-8.0,-7.14428038419174,0.6228881478309631,0.39806786107482894,0.3996212818779884,0.9929738562091504,0.9560077161470241,-0.0015534208031594554
HLA-A2_TAPBPR_meanscore_5WER,rand2,-8.0,-7.481408518729156,0.6228881478309631,0.39875277063205783,0.3996212818779884,0.8336328976034858,0.5756157274375988,-0.0008685112459305699
HLA-A2_TAPBPR_meanscore_5WER,shuffled,-8.0,-7.667810700066589,0.6228882074356079,0.39130024496062343,0.3996212818779884,0.9872004357298475,0.9129498411768626,-0.008321036917364966
HLA-A2_TAPBPR_meanscore_5WER,iface,-4.0,-4.0,0.31144407391548157,0.3878660820172927,0.3996212818779884,0.0007625272331154673,0.0654414870438165,-0.011755199860695675
HLA-A2_TAPBPR_meanscore_5WER,rand0,-4.0,-3.541779475473669,0.3114440441131592,0.39952227968103754,0.3996212818779884,0.9811274509803922,0.8875867383710511,-9.900219695085921e-05
HLA-A2_TAPBPR_meanscore_5WER,rand1,-4.0,-3.57214019209587,0.31144407391548157,0.4007342383754603,0.3996212818779884,0.9979575163398693,0.986725258006407,0.0011129564974718953
HLA-A2_TAPBPR_meanscore_5WER,rand2,-4.0,-3.740704259364578,0.31144407391548157,0.4006762550477345,0.3996212818779884,0.9498366013071895,0.7981343265898826,0.0010549731697461207
HLA-A2_TAPBPR_meanscore_5WER,shuffled,-4.0,-3.8339053500332945,0.31144410371780396,0.3960867747906574,0.3996212818779884,0.9970860566448803,0.9804537860769429,-0.003534507087330996
HLA-A2_TAPBPR_meanscore_5WER,iface,-2.0,-2.0,0.15572203695774078,0.3943594773079441,0.3996212818779884,0.0007625272331154673,0.0654414870438165,-0.005261804570044326
HLA-A2_TAPBPR_meanscore_5WER,rand0,-2.0,-1.7708897377368344,0.1557220220565796,0.4002765778485809,0.3996212818779884,0.9956427015250545,0.969185045770904,0.0006552959705924954
