DMS_id,lam,step,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms,final_M
GB1_IgG-Fc_fitness_1FCC,1.0,3000,0.5380393503590265,0.5004876730948997,0.03755167726412678,-0.44443378475589945,0.0019175747293891357,5.102272987365723,
GB1_IgG-Fc_fitness_1FCC,3.0,300,0.5130750950981439,0.5004876730948997,0.012587422003244142,-0.10631005226021167,0.0019175747293891357,5.7219109535217285,
GB1_IgG-Fc_fitness_1FCC,3.0,1000,0.5241888921624527,0.5004876730948997,0.02370121906755296,-0.15316081273844798,0.0019175747293891357,5.122339248657227,
GB1_IgG-Fc_fitness_1FCC,3.0,2000,0.5279628411610973,0.5004876730948997,0.02747516806619754,-0.17553825207708712,0.0019175747293891357,4.889388561248779,
GB1_IgG-Fc_fitness_1FCC,3.0,3000,0.5274988071489127,0.5004876730948997,0.02701113405401301,-0.18239188435663695,0.0019175747293891357,5.1719160079956055,
GB1_IgG-Fc_fitness_1FCC,1.0,300,0.5553187213376048,0.5004876730948997,0.05483104824270513,-0.18284586733592811,0.0019175747293891357,4.0139360427856445,5.0
GB1_IgG-Fc_fitness_1FCC,1.0,1000,0.5671644584448547,0.5004876730948997,0.06667678534995503,-0.3365297323569156,0.0019175747293891357,3.202695846557617,5.0
GB1_IgG-Fc_fitness_1FCC,1.0,2000,0.5650677803209536,0.5004876730948997,0.0645801072260539,-0.3955294489046706,0.0019175747293891357,3.3862767219543457,5.0
GB1_IgG-Fc_fitness_1FCC,1.0,3000,0.5662078535045563,0.5004876730948997,0.06572018040965655,-0.4210895435653503,0.0019175747293891357,2.767043352127075,5.0
KRAS_RAF1-RBD_norfitness_6VJJ,0.001,300,0.522325649194797,0.44129515556233045,0.0810304936324665,-0.869182356254278,0.0950670594035094,9.939167022705078,
KRAS_RAF1-RBD_norfitness_6VJJ,0.001,1000,0.4519278393871652,0.44129515556233045,0.010632683824834732,-0.9543279033020818,0.0950670594035094,9.024264335632324,
KRAS_RAF1-RBD_norfitness_6VJJ,0.001,2000,0.43374768032939187,0.44129515556233045,-0.007547475232938583,-0.9821660964138139,0.0950670594035094,8.820757865905762,
KRAS_RAF1-RBD_norfitness_6VJJ,0.001,3000,0.4194448414786285,0.44129515556233045,-0.02185031408370197,-0.9904914770681925,0.0950670594035094,9.0119047164917,
KRAS_RAF1-RBD_norfitness_6VJJ,0.003,300,0.5201542002233527,0.44129515556233045,0.07885904466102223,-0.868327466214523,0.0950670594035094,8.757712364196777,
KRAS_RAF1-RBD_norfitness_6VJJ,0.003,1000,0.4568362872355333,0.44129515556233045,0.015541131673202868,-0.9550857910098842,0.0950670594035094,8.903520584106445,
KRAS_RAF1-RBD_norfitness_6VJJ,0.003,2000,0.438957413196251,0.44129515556233045,-0.002337742366079476,-0.9821887431493512,0.0950670594035094,8.105308532714844,
KRAS_RAF1-RBD_norfitness_6VJJ,0.003,3000,0.416815761209007,0.44129515556233045,-0.02447939435332347,-0.9906158369922282,0.0950670594035094,7.928640365600586,
KRAS_RAF1-RBD_norfitness_6VJJ,0.01,300,0.532711132488973,0.44129515556233045,0.0914159769266425,-0.8614096445270935,0.0950670594035094,7.629576683044434,
KRAS_RAF1-RBD_norfitness_6VJJ,0.01,1000,0.4691422529644684,0.44129515556233045,0.02784709740213792,-0.9526691915831782,0.0950670594035094,7.39955997467041,
KRAS_RAF1-RBD_norfitness_6VJJ,0.01,2000,0.442614151473946,0.44129515556233045,0.0013189959116155503,-0.97879843284332,0.0950670594035094,6.520604133605957,
